code,label,description,position,bookmark
1,"FONDS SOCIAL, PROVISIONS POUR RISQUES ET CHARGE ET DETTES À PLUS D’UN AN",,Passif,
10,Fonds de l’association ou de la fondation,,Passif,
12,Plus-values de réévaluation,,Passif,
120,Plus-values de réévaluation sur immobilisations incorporelles,,Passif,
121,Plus-values de réévaluation sur immobilisations corporelles,,Passif,
122,Plus-values de réévaluation sur immobilisations financières,,Passif,
124,Reprises de réductions de valeurs sur placements de trésorerie,,Passif,
13,Fonds affectés et autres réserves,,Passif,
130,Fonds affectés pour investissements,,Passif,
131,Fonds affectés pour passif social,,Passif,
132,Réserves immunisés,,Passif,
139,Autres fonds affectés et autres réserves,,Passif,
14,Résultats reportés (+)(-),Bénéfice ou déficit,Actif ou passif,
15,Subsides en capital,,Passif,
16,Provisions et impôts différés,,Passif,
160,Provisions pour pensions et obligations similaires,,Passif,
161,Provisions pour charge fiscales,,Passif,
162,Provisions pour grosses réparations et gros entretiens,,Passif,
163,Provisions pour obligations environnementales,,Passif,
164,Provisions pour autres risques et charge,,Passif,
167,"Provisions pour remboursement de subsides, legs et dons avec droit de reprise",,Passif,
168,Impôts différés,,Passif,
17,Dettes à plus d'un an,,Passif,
170,Emprunts subordonnés,,Passif,
171,Emprunts obligataires non subordonnés,,Passif,
172,Dettes de location-financement et dettes assimilées,,Passif,
173,Établissements de crédit,,Passif,
1730,Dettes en comptes,,Passif,
1731,Promesses,,Passif,
1732,Crédits d'acceptation,,Passif,
174,Autres emprunts,,Passif,
175,Dettes commerciales,,Passif,
1750,Fournisseurs,,Passif,
1751,Effets à payer,,Passif,
176,Acomptes sur commandes,,Passif,
178,Cautionnements en numéraire,,Passif,
179,Autres dettes,,Passif,
1790,Productives d’intérêts,,Passif,
1791,Non productives d’intérêts ou assorties d’un intérêt anormalement faible,,Passif,
2,"FRAIS D’ÉTABLISSEMENT, ACTIFS IMMOBILISÉS ET CRÉANCES À PLUS D’UN AN",,Actif,
20,Frais d'établissement,,Actif,
200,Frais de constitution,,Actif,
201,Frais d'émission d'emprunt,,Actif,
202,Autres frais d'établissement,,Actif,
204,Frais de restructuration,,Actif,
21,Immobilisations incorporelles,Actifs immobilisés,Actif,
210,Frais de recherche et de développement,,Actif,
211,"Concessions, brevets, licences, savoir-faire, marques et droits similaires",,Actif,
212,Goodwill,,Actif,
213,Acomptes versés,,Actif,
22,Terrains et constructions,,Actif,
220,Terrains,,Actif,
221,Constructions,,Actif,
222,Terrains bâtis,,Actif,
223,Autres droits réels sur des immeubles,,Actif,
23,"Installations, machines et outillage ",,Actif,
24,Mobilier et matériel roulant,,Actif,
25,Immobilisations détenues en location-financement et droits similaires,,Actif,
250,Terrains et construction,,Actif,
251,"Installations, machines et outillage",,Actif,
252,Mobilier et matériel roulant,,Actif,
26,Autres immobilisations corporelles,,Actif,
27,Immobilisations corporelles en cours et acomptes versés,,Actif,
28,Immobilisations financières,,Actif,
280,Participations dans des sociétés liées,,Actif,
2800,Valeur d'acquisition,,Actif,
2801,Montants non appelés,,Actif,
2808,Plus-values actées,,Actif,
2809,Réductions de valeur actées,,Actif,
281,Créances sur des entités liées,,Actif,
2810,Créances en compte,,Actif,
2811,Effets à recevoir,,Actif,
2812,Titres à revenu fixe,,Actif,
2817,Créances douteuses,,Actif,
2819,Réductions de valeurs actées,,Actif,
282,Participations dans des sociétés avec lesquelles il existe un lien de participation,,Actif,
2820,Valeur d'acquisition,,Actif,
2821,Montants non appelés,,Actif,
2828,Plus-values actées,,Actif,
2829,Réductions de valeurs actées,,Actif,
283,Créances sur des sociétés avec lesquelles il existe un lien de participation,,Actif,
2830,Créances en compte,,Actif,
2831,Effets à recevoir,,Actif,
2832,Titres à revenu fixe,,Actif,
2837,Créances douteuses,,Actif,
2839,Réductions de valeurs actées,,Actif,
284,Autres actions et parts,,Actif,
2840,Valeur d'acquisition,,Actif,
2841,Montants non appelés,,Actif,
2848,Plus-values actées,,Actif,
2849,Réductions de valeurs actées,,Actif,
285,Autres créances,,Actif,
2850,Créances en compte,,Actif,
2851,Effets à recevoir,,Actif,
2852,Titres à revenu fixe,,Actif,
2857,Créances douteuses,,Actif,
2859,Réductions de valeurs actées,,Actif,
288,Cautionnements versés en numéraire,,Actif,
29,Créances à plus d'un an,,Actif,
290,Créances commerciales,,Actif,
2900,Clients,,Actif,
2901,Effets à recevoir,,Actif,
2906,Acomptes versés,,Actif,
2907,Créances douteuses,,Actif,
2909,Réductions de valeurs actées,,Actif,
291,Autres créances,,Actif,
2910,Créances en compte,,Actif,
2911,Effets à recevoir,,Actif,
2912,Subsides à recevoir,,Actif,
2915,Créances non productives d’intérêts ou assorties d’un intérêt anormalement faible,,Actif,
2916,Créances douteuses,,Actif,
2919,Réductions de valeurs actées,,Actif,
3,STOCKS ET COMMANDES EN COURS D'EXÉCUTION,,Actif,
30,Matières premières,,Actif,
300,Valeur d'acquisition,,Actif,
309,Réductions de valeur actées,,Actif,
31,Fournitures,,Actif,
310,Valeur d'acquisition,,Actif,
319,Réductions de valeur actées,,Actif,
32,En-cours de fabrication,,Actif,
320,Valeur d'acquisition,,Actif,
329,Réductions de valeur actées,,Actif,
33,Produit finis,,Actif,
330,Valeur d'acquisition,,Actif,
339,Réductions de valeur actées,,Actif,
34,Marchandises,,Actif,
340,Valeur d'acquisition,,Actif,
349,Réductions de valeur actées,,Actif,
35,Immeubles destinés a la vente,,Actif,
350,Valeur d'acquisition,,Actif,
359,Réductions de valeur actées,,Actif,
36,Acomptes versés sur achats pour stocks,,Actif,
360,Acomptes versés,,Actif,
369,Réductions de valeur actées,,Actif,
37,Commandes en cours d'exécution,,Actif,
370,Valeur d'acquisition,,Actif,
371,Bénéfice pris en compte,,Actif,
379,Réductions de valeur actées,,Actif,
4,CRÉANCES ET DETTES À UN AN AU PLUS,,Passif,
40,Créances commerciales,,Passif,
400,Clients,,Passif,
401,Effets à recevoir,,Passif,
404,Produit à recevoir,,Passif,
406,Acomptes versés,,Passif,
407,Créances douteuses,,Passif,
409,Réductions de valeurs actées,,Passif,
41,Autres créances,,Passif,
410,Autres tiers,,Passif,
411,Tva à récupérer,,Passif,
412,Impôts et précomptes à récupérer,,Passif,
4120,4120 à 4124,,Passif,
4125,4125 à 4127 Autres impôts et taxes belges,,Passif,
4128,Impôts et taxes étrangers,,Passif,
413,Subsides à recevoir,,Passif,
414,Produit à recevoir,,Passif,
415,Créances non productives d’intérêts ou assorties d’un intérêt anormalement faible,,Passif,
416,Créances diverses,,Passif,
417,Créances douteuses,,Passif,
418,Cautionnements versés en numéraire,,Passif,
419,Réductions de valeurs actées,,Passif,
42,Dettes à plus d'un an échéant dans l'année (même subdivision que le compte 17),,Passif,
43,Dettes financières,,Passif,
430,Établissements de crédit – Emprunts en compte à terme fixe,,Passif,
431,Établissements de crédit – Promesses,,Passif,
432,Établissements de crédit – Crédits d'acceptation,,Passif,
433,Établissements de crédit – Dettes en compte courant,,Passif,
