Numéro,Libellé,Description,Position,Favori
1,Actifs,,Actif,
10,Liquidités,,Actif,
100,Caisses,,Actif,
1000,Caisse,,Actif,Favori
1005,Caisse Euro,,Actif,Favori
1010,CCP,,Actif,
102,Banques,,Actif,
1020,Compte bancaire,,Actif,Favori
1030,Dépôts à court terme (< 3 mois),,Actif,
109,Comptes d’attente,,Actif,
1090,Dépôts en attente,,Actif,Favori
11,Titres cotés en bourse et détenus à court terme,,Actif,
1100,Titres,,Actif,
12,Débiteurs,,Actif,
120,Débiteurs résultant de la vente de biens et de prestations de services,,Actif,
1200,Débiteurs résultant de la vente de biens et de prestations de services,,Actif,
125,Autres débiteurs,,Actif,
1250,Autres débiteurs,,Actif,
13,Stocks,,Actif,
1300,Stocks divers,,Actif,
14,Actifs transitoires (comptes de régularisation d’actifs),,Actif,
1400,Impôts anticipés,,Actif,
1410,Produits à recevoir,,Actif,
1420,Charges payées d'avance,,Actif,
15,Immobilisations financières,,Actif,
1500,Cautions loyers,,Actif,
16,Participations,,Actif,
1600,Participations dans d’autres entités,,Actif,
17,Immobilisations corporelles,,Actif,
1700,Mobilier,,Actif,
1710,Informatique,,Actif,
18,Immobilisations incorporelles,,Actif,
1800,Licences informatiques,,Actif,
2,Passifs,,Passif,
20,Créanciers,,Passif,
2000,Fournisseurs,,Passif,
2050,Autres dettes à court terme,,Passif,
21,Dettes à court terme liées aux charges de personnel,,Passif,
2100,Créanciers caisse AVS,,Passif,
2110,Créanciers LAA,,Passif,
2120,Créanciers LPP,,Passif,
2130,Créanciers impôt source,,Passif,
2140,Créanciers assurance indemnités journalières maladie,,Passif,
2180,Salaires à payer,,Passif,
22,Dettes financières à court terme,,Passif,
2200,Emprunts bancaires à rembourser dans l'année,,Passif,
23,Passifs transitoires (comptes de régularisation de passifs),,Passif,
2310,Produits constatés d'avance,,Passif,
2320,Charges à payer,,Passif,
24,Dettes à long terme,,Passif,
2400,Emprunts bancaires à rembourser à plus d'une année,,Passif,
2410,Autres dettes à long terme,,Passif,
26,Provisions,,Passif,
28,Fonds affectés (Swiss GAAP RPC),À subdiviser par projet,Passif,
29,Fonds propres,,Passif,
2900,Capital initial versé (ou capital de fondation),,Passif,
2910,Réserve associative,,Passif,
2990,Résultats reportés (fonds libres),,Passif,
2999,Résultat de l'exercice,,Passif,
29991,Résultat positif,,Passif,
29999,Résultat négatif,,Passif,
3,Charges,,Charge,
30,Charges directes de projets,À subdiviser par projet,Charge,
31,Charges de personnel,,Charge,
310,Salaires,,Charge,
3100,Salaires,,Charge,Favori
311,Charges sociales,,Charge,
3110,AVS-AI-AC-AMAT,,Charge,
3111,LAA professionnelle,,Charge,
3112,LAA complémentaire,,Charge,
3113,Assurance indemnités journalières maladie,,Charge,
3114,LPP,,Charge,
312,Autres charges de personnel,,Charge,
3120,Frais de formation,,Charge,Favori
3128,Autres frais de personnel,,Charge,
315,Compensations charges de personnel (revenus présentés en déduction des charges de personnel),,Charge,
3150,Indemnités d'assurance pour charges du personnel,,Charge,
3151,Mise à disposition de personnes,,Charge,
3152,Commission perception IS,,Charge,
3159,Autres compensations charges salariales,,Charge,
32,Charges de locaux,,Charge,
3200,Loyers,,Charge,Favori
3210,"Charges – Eau, gaz, électricité ",,Charge,Favori
3220,Frais d'entretiens locaux,,Charge,Favori
