code,label,description,position,bookmark
1,"Classe 1 — Comptes de capitaux (Fonds propres, emprunts et dettes assimilés)",,Passif,
10,Fonds propres et réserves,,Passif,
102,Fonds propres sans droit de reprise,,Passif,
1021,Première situation nette établie,,Passif,
1022,Fonds statutaires,,Passif,
1023,Dotations non consomptibles,,Passif,
10231,Dotations non consomptibles initiales,,Passif,
10232,Dotations non consomptibles complémentaires,,Passif,
1024,Autres fonds propres sans droit de reprise,,Passif,
103,Fonds propres avec droit de reprise,,Passif,
1032,Fonds statutaires,,Passif,
1034,Autres fonds propres avec droit de reprise,,Passif,
105,Ecarts de réévaluation,,Passif,
1051,Ecarts réévaluation sur biens sans dt reprise,,Passif,
1052,Ecarts réévaluation sur biens avec dt reprise,,Passif,
106,Réserves,,Passif,
1062,Réserves indisponibles,,Passif,
1063,Réserves statutaires,,Passif,
1064,Réserves réglementées,,Passif,
1068,Réserves pour projet de l’entité,,Passif,
108,Dotations consomptibles,,Passif,
1081,Dotations consomptibles,,Passif,
1089,Dot. consomptibles inscrites au cpte de résul,,Passif,
11,Report à nouveau,,Passif,
110,Report à nouveau (Solde créditeur),,Passif,
119,Report à nouveau (Solde débiteur),,Passif,
12,Résultat net de l’exercice,,Passif,
120,Résultat de l'exercice (excédent),,Passif,
129,Résultat de l'exercice (déficit),,Passif,
13,Subventions d’investissement,,Passif,
131,Subventions d'équipement,,Passif,
139,Subventions inscrites au compte de résultat,,Passif,
14,Provisions réglementées,,Passif,
148,Autres provisions réglementées,,Passif,
15,Provisions pour risques et charges,,Passif,
151,Provisions pour risques,,Passif,
152,Provisions pour charges sur legs ou donations,,Passif,
153,Provisions pour pensions et obligations simil,,Passif,
155,Provisions pour impôts,,Passif,
157,Provisions pour charges à répartir,,Passif,
158,Autres provisions pour charges,,Passif,
16,Emprunts et dettes assimilées,,Passif,
163,Autres emprunts obligataires,,Passif,
1631,Titres associatifs et assimilés,,Passif,
164,Emprunts auprès des établissements de crédit,,Passif,
165,Dépôts et cautionnements reçus,,Passif,
1651,Dépôts,,Passif,
1655,Cautionnements,,Passif,
167,Emprunts et dettes sous conditions particulières,,Passif,
168,Autres emprunts et dettes assimilées,,Passif,
18,Comptes de liaisons,,Passif,
181,Apports permanents siège-établissements,,Passif,
185,Biens & PS échangés siège-établissements,,Passif,
186,Biens & PS entre établissements - Charges,,Passif,
187,Biens & PS entre établissements - Produits,,Passif,
19,Fonds dédiés ou reportés,,Passif,
191,Fonds reportés liés aux legs ou donations,,Passif,
1911,Legs ou donations,,Passif,
1912,Donations temporaires d’usufruit,,Passif,
194,Fonds dédiés sur subventions fonctionnement,,Passif,
195,F.d. / contributions financières autres org.,,Passif,
196,F.d. / ressources liées à la générosité,,Passif,
2,Classe 2 — Comptes d'immobilisations,,Actif,
20,Immobilisations incorporelles,,Actif,
201,Frais d'établissement,,Actif,
203,Frais de recherche et de développement,,Actif,
204,Donations temporaires d’usufruit,,Actif,
205,"Brevets, licences, marques...",,Actif,
206,Droit au bail,,Actif,
208,Autres immobilisations incorporelles,,Actif,
21,Immobilisations corporelles,,Actif,
211,Terrains,,Actif,
212,Agencements / aménagements de terrains,,Actif,
2131,Bâtiments,,Actif,
2135,"Installations, agencements...de constructions",,Actif,
214,Constructions sur sol d'autrui,,Actif,
215,"Installations techniques, matériel, outillage",,Actif,
2154,Matériel industriel,,Actif,
2155,Outillage industriel,,Actif,
218,Autres immobilisations corporelles,,Actif,
2181,"Installations, agencements, aménagem. divers",,Actif,
2182,Matériel de transport,,Actif,
2183,Matériel bureau et informatique,,Actif,
2184,Mobilier,,Actif,
23,Immobilisations en cours,,Actif,
231,Immobilisations corporelles en cours,,Actif,
238,"Avances, acomptes sur immobilis. corporelles",,Actif,
24,Biens destinés à être cédés,,Actif,
240,Biens reçus par legs ou donations à céder,,Actif,
26,Participations et créances rattachées,,Actif,
261,Titres de participation,,Actif,
266,Autres formes de participation,,Actif,
267,Créances rattachées à des participations,,Actif,
269,Versements restants sur participations,,Actif,
27,Immobilisations financières,,Actif,
271,Titres immobilisés (droit de propriété),,Actif,
272,Titres immobilisés (droit de créance),,Actif,
274,Prêts,,Actif,
2742,Prêts aux partenaires,,Actif,
275,Dépôts et cautionnements versés,,Actif,
276,Autres créances immobilisées,,Actif,
28,Amortissements des immobilisations,,Actif,
2801,Amt. frais d'établissement,,Actif,
2804,Amt. donations temporaires d’usufruit,,Actif,
2805,"Amt brevets, licences, marques...",,Actif,
2806,Amt. droit au bail,,Actif,
2808,Amt. autres immo.incorporelles,,Actif,
2812,"Amt.agencements, aménagements de terrains",,Actif,
28131,Amortissements bâtiments,,Actif,
28135,"Amt. installations, agencements...",,Actif,
2814,Amt.constructions sur sol d'autrui,,Actif,
2815,"Amt instal. techniques, matériel, outillage",,Actif,
28181,"Amt. intallations, agencements, aménagements",,Actif,
28182,Amt. matériel de transport,,Actif,
28183,"Amortiss.matériel de bureau, informatique",,Actif,
28184,Amortissements du mobilier,,Actif,
29,Dépréciations des immobilisations,,Actif,
2904,Donations temporaires d'usufruit,,Actif,
2905,"Brevets, licences, marques...",,Actif,
2906,Droit au bail,,Actif,
2908,Autres immobilisations incorporelles,,Actif,
2911,Terrains,,Actif,
2931,Immobilisations corporelles en cours,,Actif,
294,Biens reçus par legs ou donations à céder,,Actif,
2961,Titres de participations,,Actif,
2966,Autres formes de participations,,Actif,
2967,Créances rattachées à des participations,,Actif,
2971,Titres immobilisés (droit de propriété),,Actif,
2972,Titres immobilisés (droit de créance),,Actif,
2974,Prêts,,Actif,
2975,Dépôts et cautionnements versés,,Actif,
2976,Autres créances immobilisées,,Actif,
3,Classe 3 — Comptes de stocks,,Actif,
31,Matières premières et fournitures,,Actif,
318,Matières premières et fournitures,,Actif,
32,Autres approvisionnements,,Actif,
321,Matières consommables,,Actif,
322,Fournitures consommables,,Actif,
326,Emballages,,Actif,
33,En-cours de production de biens,,Actif,
331,Produits en cours,,Actif,
335,Travaux en cours,,Actif,
34,En-cours de production de services,,Actif,
341,Etudes en cours,,Actif,
345,Prestations de services en cours,,Actif,
35,Stocks de produits,,Actif,
351,Produits intermédiaires,,Actif,
355,Produits finis,,Actif,
358,Produits résiduels,,Actif,
37,Stocks de marchandises,,Actif,
370,Stocks de marchandises,,Actif,
39,Provisions pour dépréciations stocks et en-cours,,Actif,
391,Matières premières et fournitures,,Actif,
392,Autres approvisionnements,,Actif,
393,En-cours de production de biens,,Actif,
394,En-cours de production de services,,Actif,
395,Stocks de produits,,Actif,
397,Stocks de marchandises,,Actif,
4,Classe 4 — Comptes de tiers,,Actif ou passif,
40,Fournisseurs et comptes rattachés,,Actif ou passif,
401,Fournisseurs,,Actif ou passif,
4010,Autres fournisseurs,,Actif ou passif,Favori
403,Fournisseurs - Effets à payer,,Passif,
404,Fournisseurs d'immobilisations,,Actif ou passif,
405,Fournisseurs d'immos - Effets à payer,,Passif,
408,Fournisseurs - Factures non parvenues,,Passif,
4091,Fournisseurs - Avances & acomptes,,Actif,
