code,label,description,position,bookmark
1,COMPTES DE CAPITAUX,,Passif,
10,CAPITAL ET RÉSERVES,,Passif,
101,Capital,,Passif,
1011,Capital souscrit -non appelé,,Passif,
1012,"Capital souscrit -appelé, non versé",,Passif,
1013,"Capital souscrit - appelé, versé",,Passif,
102,Fonds fiduciaires,,Passif,
104,Primes liées au capital social,,Passif,
105,Écarts de réévaluation,,Passif,
106,Réserves,,Passif,
1068,Autres réserves,,Passif,
107,Écart d’équivalence,,Passif,
108,Compte de l’exploitant,,Passif,
109,Actionnaires : capital souscrit – non appelé,,Passif,
11,REPORT À NOUVEAU (SOLDE CRÉDITEUR OU DÉBITEUR),,Passif,
110,Report à nouveau (solde créditeur),,Passif,
119,Report à nouveau (solde débiteur),,Passif,
12,RÉSULTAT DE L’EXERCICE (BÉNÉFICE OU PERTE),,Passif,
120,Résultat de l’exercice (bénéfice),,Passif,
129,Résultat de l’exercice (perte),,Passif,
13,SUBVENTIONS D’INVESTISSEMENT,,Passif,
131,Subventions d’équipement,,Passif,
1311,État,,Passif,
1312,Régions,,Passif,
1313,Départements,,Passif,
1314,Communes,,Passif,
1315,Collectivités publiques,,Passif,
1316,Entreprises publiques,,Passif,
1317,Entreprises et organismes privés,,Passif,
1318,Autres,,Passif,
138,Autres subventions d’investissement,"Même ventilation que celle du compte 131, à rajouter si nécessaire",Passif,
139,Subventions d’investissement inscrites au compte de résultat,,Passif,
1391,"Subventions d'équipement","Même ventilation que celle du compte 131, à rajouter si nécessaire",Passif,
1398,Autres subventions d’investissement ,"Même ventilation que celle du compte 131, à rajouter si nécessaire",Passif,
14,PROVISIONS RÉGLEMENTÉES,,Passif,
142,Provisions réglementées relatives aux immobilisations,,Passif,
143,Provisions réglementées relatives aux stocks,,Passif,
144,Provisions réglementées relatives aux autres éléments de l’actif,,Passif,
145,Amortissements dérogatoires,,Passif,
146,Provision spéciale de réévaluation,,Passif,
147,Plus-values réinvesties,,Passif,
148,Autres provisions réglementées,,Passif,
15,PROVISIONS POUR RISQUES ET CHARGES,,Passif,
151,Provisions pour risques,,Passif,
153,Provisions pour pensions et obligations similaires,,Passif,
154,Provisions pour restructurations,,Passif,
155,Provisions pour impôts,,Passif,
156,Provisions pour renouvellement des immobilisations (entreprises concessionnaires),,Passif,
157,Provisions pour charges à répartir sur plusieurs exercices,,Passif,
158,Autres provisions pour charges,,Passif,
16,EMPRUNTS ET DETTES ASSIMILÉES,,Passif,
161,Emprunts obligataires convertibles,,Passif,
163,Autres emprunts obligataires,,Passif,
164,Emprunts auprès des établissements de crédit,,Passif,
165,Dépôts et cautionnements reçus,,Passif,
166,Participation des salariés aux résultats,,Passif,
167,Emprunts et dettes assortis de conditions particulières,,Passif,
168,Autres emprunts et dettes assimilées,,Passif,
169,Primes de remboursement des obligations,,Passif,
17,DETTES RATTACHÉES À DES PARTICIPATIONS,,Passif,
171,Dettes rattachées à des participations (groupe),,Passif,
174,Dettes rattachées à des participations (hors groupe),,Passif,
178,Dettes rattachées à des sociétés en participation,,Passif,
18,COMPTES DE LIAISON DES ÉTABLISSEMENTS ET SOCIÉTÉS EN PARTICIPATION,,Passif,
181,Comptes de liaison des établissements,,Passif,
186,Biens et prestations de services échangés entre établissements (charges),,Passif,
187,Biens et prestations de services échangés entre établissements (produits),,Passif,
188,Comptes de liaison des sociétés en participation,,Passif,
2,COMPTES D’IMMOBILISATIONS,,Actif,
20,IMMOBILISATIONS INCORPORELLES,,Actif,
201,Frais d’établissement,,Actif,
203,Frais de recherche et de développement,,Actif,
205,"Concessions et droits similaires, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires",,Actif,
206,Droit au bail,,Actif,
207,Fonds commercial,,Actif,
208,Autres immobilisations incorporelles,,Actif,
21,IMMOBILISATIONS CORPORELLES,,Actif,
211,Terrains,"Au besoin, créer des sous-comptes 2111 et suivants : Terrains nus, Terrains aménagés,  Sous - sols et sursols,  Terrains de gisement et  Terrains bâtis.",Actif,
212,Agencements et aménagements de terrains (même ventilation que celle du compte 211,(même ventilation que celle du compte 211) ,Actif,
213,Constructions,,Actif,
214,Constructions sur sol d’autrui (même ventilation que celle du compte 213,,Actif,
215,"Installations techniques, matériels et outillage industriels",,Actif,
218,Autres immobilisations corporelles,,Actif,
22,IMMOBILISATIONS MISES EN CONCESSION,,Actif,
23,IMMOBILISATIONS EN COURS,,Actif,
231,Immobilisations corporelles en cours,,Actif,
232,Immobilisations incorporelles en cours,,Actif,
237,Avances et acomptes versés sur immobilisations incorporelles,,Actif,
238,Avances et acomptes versés sur commandes d’immobilisations corporelles,,Actif,
25,PARTS DANS DES ENTREPRISES LIÉES ET CRÉANCES SUR DES ENTREPRISES LIÉES,,Actif,
26,PARTICIPATIONS ET CRÉANCES RATTACHÉES À DES PARTICIPATIONS,,Actif,
261,Titres de participation,,Actif,
266,Autres formes de participation,,Actif,
267,Créances rattachées à des participations,,Actif,
268,Créances rattachées à des sociétés en participation,,Actif,
269,Versements restant à effectuer sur titres de participation non libérés,,Actif,
27,AUTRES IMMOBILISATIONS FINANCIÈRES,,Actif,
271,Titres immobilisés autres que les titres immobilisés de l’activité de portefeuille (droit de propriété),,Actif,
272,Titres immobilisés (droit de créance),,Actif,
273,Titres immobilisés de l’activité de portefeuille,,Actif,
274,Prêts,,Actif,
275,Dépôts et cautionnements versés,,Actif,
276,Autres créances immobilisées,,Actif,
277,(Actions propres ou parts propres),,Actif,
278,Mali de fusion sur actifs financiers,,Actif,
279,Versements restant à effectuer sur titres immobilisés non libérés,,Actif,
28,AMORTISSEMENTS DES IMMOBILISATIONS,,Actif,
280,Amortissements des immobilisations incorporelles,,Actif,
281,Amortissements des immobilisations corporelles,,Actif,
282,Amortissements des immobilisations mises en concession,,Actif,
29,DÉPRÉCIATIONS DES IMMOBILISATIONS,,Actif,
290,Dépréciations des immobilisations incorporelles,,Actif,
291,Dépréciations des immobilisations corporelles ,Même ventilation que celle du compte 21,Actif,
292,Dépréciations des immobilisations mises en concession,,Actif,
293,Dépréciations des immobilisations en cours,,Actif,
296,Provisions pour dépréciation des participations et créances rattachées à des participations,,Actif,
297,Provisions pour dépréciation des autres immobilisations financières,,Actif,
3,COMPTES DE STOCKS ET EN-COURS,,Actif,
31,MATIÈRES PREMIÈRES (ET FOURNITURES),,Actif,
311,Matières (ou groupe) A,,Actif,
312,Matières (ou groupe) B,,Actif,
317,"Fournitures A, B, C",,Actif,
32,AUTRES APPROVISIONNEMENTS,,Actif,
321,Matières consommables,,Actif,
322,Fournitures consommables,,Actif,
326,Emballages,,Actif,
33,EN-COURS DE PRODUCTION DE BIENS,,Actif,
331,Produits en cours,,Actif,
335,Travaux en cours,,Actif,
34,EN-COURS DE PRODUCTION DE SERVICES,,Actif,
341,Études en cours,,Actif,
345,Prestations de services en cours,,Actif,
35,STOCKS DE PRODUITS,,Actif,
351,Produits intermédiaires,,Actif,
355,Produits finis,,Actif,
358,Produits résiduels (ou matières de récupération),,Actif,
37,STOCKS DE MARCHANDISES,,Actif,
371,Marchandises (ou groupe) A,,Actif,
372,Marchandises (ou groupe) B,,Actif,
39,PROVISIONS POUR DÉPRÉCIATION DES STOCKS ET EN-COURS,,Actif,
391,Provisions pour dépréciation des matières premières (et fournitures),,Actif,
392,Provisions pour dépréciation des autres approvisionnements,,Actif,
393,Provisions pour dépréciation des en-cours de production de biens,,Actif,
394,Provisions pour dépréciation des en-cours de production de services,,Actif,
395,Provisions pour dépréciation des stocks de produits,,Actif,
397,Provisions pour dépréciation des stocks de marchandises,,Actif,
4,COMPTES DE TIERS,,Actif ou passif,
40,FOURNISSEURS ET COMPTES RATTACHÉS,,Actif ou passif,
400,Fournisseurs et Comptes rattachés,,Actif ou passif,
401,Fournisseurs,,Actif ou passif,
403,Fournisseurs – Effets à payer,,Passif,
404,Fournisseurs d’immobilisations,,Actif ou passif,
405,Fournisseurs d’immobilisations – Effets à payer,,Passif,
408,Fournisseurs – Factures non parvenues,,Passif,
409,Fournisseurs débiteurs,,Actif,
41,CLIENTS ET COMPTES RATTACHÉS,,Actif ou passif,
410,Clients et comptes rattachés,,Actif ou passif,
411,Clients,,Actif ou passif,
413,Clients – Effets à recevoir,,Actif,
416,Clients douteux ou litigieux,,Actif,
418,Clients – Produits non encore facturés,,Actif,
419,Clients créditeurs,,Passif,
42,PERSONNEL ET COMPTES RATTACHÉS,,Actif ou passif,
421,Personnel – Rémunérations dues,,Passif,
422,"Comités d’entreprises, d’établissement,…",,Actif ou passif,
424,Participation des salariés aux résultats,,Actif,
425,Personnel – Avances et acomptes,,Actif,
426,Personnel – Dépôts,,Passif,
427,Personnel – Oppositions,,Passif,
428,Personnel – Charges à payer et produits à recevoir,,Passif,
