code,label,description,position,bookmark
1,CLASSE 1 COMPTES DE CAPITAUX,,Passif,
10,FONDS SYNDICAUX ET RESERVES,,Passif,
102,Fonds propres sans droit de reprise,,Passif,
1021,Valeur du patrimoine intégré,,Passif,
1022,Fonds statutaires (à éclater en fonction des statuts),,Passif,
1024,Apports sans droit de reprise,,Passif,
1025,Legs et donations avec contrepartie d'actifs immobilisés,,Passif,
1026,Subventions d'investissement affectées à des biens renouvelables,,Passif,
1027,Autres fonds propres sans droit de reprise,,Passif,
103,Fonds propres avec droit de reprise,,Passif,
1034,Fonds propres avec droit de reprise,,Passif,
1035,Legs et donations avec contrepartie d'actifs immobilisés assortis d'une obligation ou d'une condition,,Passif,
1036,Subventions d'investissement affectées à des biens renouvelables,,Passif,
1037,Autres fonds propres avec droit de reprise,,Passif,
1039,Fonds propres avec droit de reprise inscrit au compte de résultat,,Passif,
105,Ecarts de réévaluation,,Passif,
1051,Ecarts de réévaluation sur des biens sans droit de reprise,,Passif,
1052,Ecarts de réévaluation sur des biens avec droit de reprise,,Passif,
1053,Réserve de réévaluation,,Passif,
1055,Ecarts de réévaluation (autres opérations légales),,Passif,
1057,Autres écarts de réévaluation en France,,Passif,
1058,Autres écarts de réévaluation à l'étranger,,Passif,
106,Réserves,,Passif,
1062,Réserves indisponibles,,Passif,
1063,Réserves statutaires ou contractuelles,,Passif,
1064,Réserves réglementées,,Passif,
10641,Plus-values nettes à long terme,,Passif,
10643,Réserves consécutives à l'octroi de subventions d'investissement,,Passif,
10648,Autres réserves réglementées,,Passif,
1068,Autres réserves (dont réserves pour projet associatif),,Passif,
10681,Réserve de propre assureur,,Passif,
10688,Réserves diverses - Réserves pour projet associatif,,Passif,
107,Écart d'équivalence,,Passif,
11,ELEMENTS EN INSTANCE D'AFFECTATION,,Passif,
110,Report à nouveau (solde créditeur),,Passif,
115,Résultats sous contrôle de tiers financeurs,,Passif,
119,Report à nouveau (solde débiteur),,Passif,
12,RESULTAT NET DE L'EXERCICE (excédent ou déficit),,Passif,
120,Résultat de l'exercice (excédent),,Passif,
129,Résultat de l'exercice (déficit),,Passif,
13,SUBVENTIONS D'INVESTISSEMENTS AFFECTEES A DES BIENS NON RENOUVELABLES,,Passif,
131,Subventions d'équipement,,Passif,
1311,Etat,,Passif,
1312,Régions,,Passif,
1313,Départements,,Passif,
1314,Communes,,Passif,
1315,Collectivités publiques,,Passif,
1316,Entreprises publiques,,Passif,
1317,Entreprises et organismes privés,,Passif,
1318,Autres,,Passif,
138,Autres subventions d'investissement,,Passif,
139,Subventions d'Investissements Inscrites au compte de résultat,,Passif,
1391,Subventions d'équipement,,Passif,
1398,Autres subventions d'Investissement,,Passif,
14,PROVISIONS REGLEMENTEES,,Passif,
142,Provisions réglementées relatives aux immobilisations,,Passif,
1423,Provisions pour reconstitution des gisements miniers et pétroliers,,Passif,
1424,Provisions pour investissement (participation des salariés),,Passif,
143,Provisions réglementées relatives aux stocks,,Passif,
1431,Hausse des prix,,Passif,
1432,Fluctuation des cours,,Passif,
144,Provisions réglementées relatives aux autres éléments d'actif,,Passif,
145,Amortissements dérogatoires,,Passif,
146,Provision spéciale de réévaluation,,Passif,
147,Plus-values réinvesties,,Passif,
148,Autres provisions réglementées,,Passif,
15,PROVISIONS,,Passif,
151,Provisions pour risques,,Passif,
1511,Provisions pour litiges,,Passif,
1512,Provisions pour garanties données aux usagers ou clients,,Passif,
1513,Provisions pour pertes sur marchés à terme,,Passif,
1514,Provisions pour amendes et pénalités,,Passif,
1515,Provisions pour pertes de change,,Passif,
